Institution,CS,Engineering,Latitude,Longitude
Howard University,1523,8336,38.92267193394192,-77.0194341118568
Florida A&M University,102,4796,30.422684075198102,-84.28780586168664
North Carolina Agricultural and Technical State University,1742,10393,36.077098764552694,-79.77193791925833
Morehouse School of Medicine,1,1,33.74298785229392,-84.41164470454663
Delaware State University,1,2332,39.1853535353217,-75.54308123696589
Tuskegee University,409,5922,32.43073560314757,-85.7073491598096
Prairie View A&M University,292,5222,30.09547881679646,-95.990771975187
Morgan State University,520,7228,39.34383736543388,-76.58449199035856
North Carolina Central University,28,2675,35.9753268228001,-78.89948234071795
Tennessee State University,148,1480,36.16839626370939,-86.82599607692639
